Logs,IP Address,Date,Time,Log Type,Anomaly Detected
Mar 31 19:37:31 combo ftpd[2830]: connection from 63.197.98.106 (adsl-63-197-98-106.dsl.mtry01.pacbell.net) at Mon Jul  4 12:52:44 2005,,Mar 31,19:37:31,Normal,No
Mar 31 19:47:33 combo sshd(pam_unix)[12527]: session closed for user test,,Mar 31,19:47:33,Normal,No
Mar 31 19:52:25 combo ftpd[13264]: connection from 61.74.96.178 () at Wed Jun 29 03:22:22 2005,,Mar 31,19:52:25,Normal,No
Mar 31 19:55:04 combo sshd(pam_unix)[10047]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=65.166.159.14,65.166.159.14,Mar 31,19:55:04,Auth Failure,Yes
Mar 31 20:06:40 combo ftpd[6581]: connection from 211.72.2.106 () at Tue Jul  5 13:52:21 2005,,Mar 31,20:06:40,Normal,No
Mar 31 20:10:31 combo ftpd[31469]: connection from 210.118.170.95 () at Sat Jun 25 09:20:24 2005,,Mar 31,20:10:31,Normal,No
Mar 31 20:10:55 combo su(pam_unix)[17778]: session closed for user news,,Mar 31,20:10:55,Normal,No
Mar 31 20:18:25 combo sshd(pam_unix)[18982]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=209.152.168.249  user=guest,209.152.168.249,Mar 31,20:18:25,Auth Failure,Yes
Mar 31 20:32:10 combo ftpd[13250]: connection from 61.74.96.178 () at Wed Jun 29 03:22:22 2005,,Mar 31,20:32:10,Normal,No
Mar 31 20:46:52 combo ftpd[24534]: connection from 217.187.83.139 () at Sun Jul 10 03:55:15 2005,,Mar 31,20:46:52,Normal,No
Mar 31 20:50:37 combo sshd(pam_unix)[31035]: check pass; user unknown,,Mar 31,20:50:37,Normal,No
Mar 31 20:56:47 combo ftpd[32327]: connection from 211.167.68.59 () at Sat Jun 25 19:25:30 2005,,Mar 31,20:56:47,Normal,No
Mar 31 20:57:25 combo syslogd 1.4.1[-]: restart.,,Mar 31,20:57:25,Normal,No
Mar 31 20:57:56 combo sshd(pam_unix)[12756]: check pass; user unknown,,Mar 31,20:57:56,Normal,No
Mar 31 21:11:16 combo ftpd[766]: connection from 62.99.164.82 (62.99.164.82.sh.interxion.inode.at) at Sun Jul  3 23:16:09 2005,,Mar 31,21:11:16,Normal,No
Mar 31 21:17:33 combo ftpd[24533]: connection from 217.187.83.139 () at Sun Jul 10 03:55:15 2005,,Mar 31,21:17:33,Normal,No
Mar 31 21:20:51 combo sshd(pam_unix)[24578]: check pass; user unknown,,Mar 31,21:20:51,Normal,No
Mar 31 21:32:52 combo ftpd[22665]: connection from 211.107.232.1 () at Sun Jul 24 13:46:34 2005,,Mar 31,21:32:52,Normal,No
Mar 31 21:36:58 combo sshd(pam_unix)[14279]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=217.60.212.66  user=guest,217.60.212.66,Mar 31,21:36:58,Auth Failure,Yes
Mar 31 21:49:06 combo sshd(pam_unix)[30622]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=150.183.249.110  user=root,150.183.249.110,Mar 31,21:49:06,Auth Failure,Yes
Mar 31 22:03:48 combo ftpd[25631]: connection from 211.72.151.162 () at Mon Jul 18 03:26:48 2005,,Mar 31,22:03:48,Normal,No
Mar 31 22:12:14 combo sshd(pam_unix)[4052]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=68.143.156.89.nw.nuvox.net  user=root,68.143.156.89.nw.nuvox.net,Mar 31,22:12:14,Auth Failure,Yes
Mar 31 22:14:02 combo ftpd[12284]: connection from 211.42.188.206 () at Fri Jul 22 09:27:24 2005,,Mar 31,22:14:02,Normal,No
Mar 31 22:28:17 combo sshd(pam_unix)[12639]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=c51471f2c.cable.wanadoo.nl  user=root,c51471f2c.cable.wanadoo.nl,Mar 31,22:28:17,Auth Failure,Yes
Mar 31 22:37:22 combo su(pam_unix)[17283]: session opened for user cyrus by (uid=0),,Mar 31,22:37:22,Normal,No
Mar 31 22:46:37 combo ftpd[23781]: connection from 218.146.61.230 () at Sun Jul 17 08:06:12 2005,,Mar 31,22:46:37,Normal,No
Mar 31 22:52:44 combo sshd(pam_unix)[18545]: check pass; user unknown,,Mar 31,22:52:44,Normal,No
Mar 31 23:03:52 combo ftpd[23575]: connection from 83.116.207.11 (aml-sfh-3310b.adsl.wanadoo.nl) at Sun Jul 17 06:13:37 2005,,Mar 31,23:03:52,Normal,No
Mar 31 23:06:02 combo sshd(pam_unix)[10049]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=65.166.159.14,65.166.159.14,Mar 31,23:06:02,Auth Failure,Yes
Mar 31 23:19:14 combo ftpd[25228]: connection from 82.68.222.195 (82-68-222-195.dsl.in-addr.zen.co.uk) at Sun Jul 17 23:21:54 2005,,Mar 31,23:19:14,Normal,No
Mar 31 23:27:55 combo ftpd[15918]: connection from 210.223.97.117 () at Wed Jun 29 14:44:35 2005,,Mar 31,23:27:55,Normal,No
Mar 31 23:32:12 combo su(pam_unix)[14943]: session closed for user cyrus,,Mar 31,23:32:12,Normal,No
Mar 31 23:41:13 combo su(pam_unix)[30999]: session closed for user cyrus,,Mar 31,23:41:13,Normal,No
Mar 31 23:51:30 combo sshd(pam_unix)[30615]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=150.183.249.110  user=root,150.183.249.110,Mar 31,23:51:30,Auth Failure,Yes
Mar 31 23:56:28 combo sshd(pam_unix)[23786]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=p15105218.pureserver.info  user=root,p15105218.pureserver.info,Mar 31,23:56:28,Auth Failure,Yes
Apr 1 00:05:26 combo sshd(pam_unix)[30620]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=150.183.249.110  user=root,150.183.249.110,Apr 01,00:05:26,Auth Failure,Yes
Apr 1 00:12:47 combo su(pam_unix)[7031]: session closed for user cyrus,,Apr 01,00:12:47,Normal,No
Apr 1 00:17:22 combo ftpd[23777]: connection from 218.146.61.230 () at Sun Jul 17 08:06:12 2005,,Apr 01,00:17:22,Normal,No
Apr 1 00:18:37 combo ftpd[29724]: connection from 82.83.227.67 (dsl-082-083-227-067.arcor-ip.net) at Sun Jul 10 07:24:24 2005,,Apr 01,00:18:37,Normal,No
Apr 1 00:23:54 combo su(pam_unix)[28416]: session closed for user news,,Apr 01,00:23:54,Normal,No
Apr 1 00:24:12 combo su(pam_unix)[9355]: session opened for user cyrus by (uid=0),,Apr 01,00:24:12,Normal,No
Apr 1 00:25:24 combo ftpd[31985]: connection from 218.38.58.3 () at Wed Jul 27 10:59:53 2005,,Apr 01,00:25:24,Normal,No
