Logs,IP Address,Date,Time,Log Type,Anomaly Detected
Apr 30 19:41:12 combo ftpd[23046]: connection from 211.57.88.250 () at Sat Jul  9 11:35:59 2005,,Apr 30,19:41:12,Normal,No
Apr 30 19:42:38 combo ftpd[23574]: connection from 83.116.207.11 (aml-sfh-3310b.adsl.wanadoo.nl) at Sun Jul 17 06:13:37 2005,,Apr 30,19:42:38,Normal,No
Apr 30 19:56:23 combo ftpd[23142]: connection from 211.167.68.59 () at Sat Jul  9 12:16:49 2005,,Apr 30,19:56:23,Normal,No
Apr 30 20:00:37 combo sshd(pam_unix)[28856]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=207.243.167.114  user=root,207.243.167.114,Apr 30,20:00:37,Auth Failure,Yes
Apr 30 20:06:57 combo sshd(pam_unix)[28858]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=207.243.167.114  user=root,207.243.167.114,Apr 30,20:06:57,Auth Failure,Yes
Apr 30 20:15:48 combo sshd(pam_unix)[28860]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=207.243.167.114  user=root,207.243.167.114,Apr 30,20:15:48,Auth Failure,Yes
Apr 30 20:27:08 combo ftpd[23797]: connection from 218.146.61.230 () at Sun Jul 17 08:06:12 2005,,Apr 30,20:27:08,Normal,No
Apr 30 20:31:11 combo ftpd[23040]: connection from 211.57.88.250 () at Sat Jul  9 11:35:59 2005,,Apr 30,20:31:11,Normal,No
Apr 30 20:38:11 combo ftpd[23798]: connection from 218.146.61.230 () at Sun Jul 17 08:06:12 2005,,Apr 30,20:38:11,Normal,No
Apr 30 20:51:22 combo sshd(pam_unix)[20885]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,220-135-151-1.hinet-ip.hinet.net,Apr 30,20:51:22,Auth Failure,Yes
Apr 30 20:55:02 combo sshd(pam_unix)[24579]: check pass; user unknown,,Apr 30,20:55:02,Normal,No
Apr 30 20:59:36 combo ftpd[23581]: connection from 83.116.207.11 (aml-sfh-3310b.adsl.wanadoo.nl) at Sun Jul 17 06:14:36 2005,,Apr 30,20:59:36,Normal,No
Apr 30 21:07:04 combo ftpd[13247]: connection from 61.74.96.178 () at Wed Jun 29 03:22:22 2005,,Apr 30,21:07:04,Normal,No
Apr 30 21:11:46 combo kernel[-]: ACPI: Subsystem revision 20040326,,Apr 30,21:11:46,Normal,No
Apr 30 21:26:11 combo ftpd[13254]: connection from 61.74.96.178 () at Wed Jun 29 03:22:22 2005,,Apr 30,21:26:11,Normal,No
Apr 30 21:29:00 combo sshd(pam_unix)[15479]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=csnsu.nsuok.edu  user=root,csnsu.nsuok.edu,Apr 30,21:29:00,Auth Failure,Yes
Apr 30 21:39:13 combo ftpd[6597]: connection from 211.72.2.106 () at Tue Jul  5 13:52:23 2005,,Apr 30,21:39:13,Normal,No
Apr 30 21:44:50 combo sshd(pam_unix)[14279]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=217.60.212.66  user=guest,217.60.212.66,Apr 30,21:44:50,Auth Failure,Yes
Apr 30 21:46:18 combo ftpd[13259]: connection from 61.74.96.178 () at Wed Jun 29 03:22:22 2005,,Apr 30,21:46:18,Normal,No
Apr 30 21:59:02 combo sshd(pam_unix)[19437]: session opened for user test by (uid=509),,Apr 30,21:59:02,Normal,No
Apr 30 22:03:52 combo ftpd[23033]: connection from 211.57.88.250 () at Sat Jul  9 11:35:59 2005,,Apr 30,22:03:52,Normal,No
Apr 30 22:08:33 combo ftpd[26481]: connection from 217.187.83.50 () at Mon Jul 25 23:24:09 2005,,Apr 30,22:08:33,Normal,No
Apr 30 22:22:08 combo ftpd[17872]: connection from 210.245.165.136 () at Wed Jun 22 13:16:30 2005,,Apr 30,22:22:08,Normal,No
Apr 30 22:29:35 combo klogind[19287]: Kerberos authentication failed,,Apr 30,22:29:35,Normal,No
Apr 30 22:34:31 combo ftpd[15557]: connection from 208.62.55.75 () at Wed Jun 29 10:48:12 2005,,Apr 30,22:34:31,Normal,No
Apr 30 22:34:36 combo logrotate[-]: ALERT exited abnormally with [1],,Apr 30,22:34:36,Service Issue,Yes
Apr 30 22:48:33 combo logrotate[-]: ALERT exited abnormally with [1],,Apr 30,22:48:33,Service Issue,Yes
Apr 30 22:48:42 combo ftpd[24373]: connection from 207.30.238.8 (host8.topspot.net) at Sun Jul 17 14:03:00 2005,,Apr 30,22:48:42,Normal,No
Apr 30 22:51:10 combo su(pam_unix)[1965]: session opened for user news by (uid=0),,Apr 30,22:51:10,Normal,No
Apr 30 22:58:53 combo sshd(pam_unix)[30664]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=150.183.249.110  user=root,150.183.249.110,Apr 30,22:58:53,Auth Failure,Yes
Apr 30 23:00:05 combo ftpd[24360]: connection from 207.30.238.8 (host8.topspot.net) at Sun Jul 17 14:02:47 2005,,Apr 30,23:00:05,Normal,No
Apr 30 23:00:59 combo sshd(pam_unix)[28987]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=211-76-104-65.ebix.net.tw,211-76-104-65.ebix.net.tw,Apr 30,23:00:59,Auth Failure,Yes
Apr 30 23:05:28 combo sshd(pam_unix)[30731]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=211.214.161.141  user=root,211.214.161.141,Apr 30,23:05:28,Auth Failure,Yes
Apr 30 23:16:25 combo ftpd[22664]: connection from 211.107.232.1 () at Sun Jul 24 13:46:34 2005,,Apr 30,23:16:25,Normal,No
Apr 30 23:18:07 combo sshd(pam_unix)[30534]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=150.183.249.110  user=root,150.183.249.110,Apr 30,23:18:07,Auth Failure,Yes
Apr 30 23:28:30 combo kernel[-]: Detected 731.219 MHz processor.,,Apr 30,23:28:30,Normal,No
Apr 30 23:35:18 combo sshd(pam_unix)[1341]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=211.137.205.253  user=root,211.137.205.253,Apr 30,23:35:18,Auth Failure,Yes
"Apr 30 23:37:50 combo kernel[-]: DMA zone: 4096 pages, LIFO batch:1",,Apr 30,23:37:50,Normal,No
Apr 30 23:44:14 combo ftpd[28694]: connection from 172.181.208.156 () at Tue Jul 26 05:47:42 2005,,Apr 30,23:44:14,Normal,No
Apr 30 23:57:09 combo ftpd[23036]: connection from 211.57.88.250 () at Sat Jul  9 11:35:59 2005,,Apr 30,23:57:09,Normal,No
May 1 00:03:59 combo su(pam_unix)[13665]: session opened for user cyrus by (uid=0),,May 01,00:03:59,Normal,No
May 1 00:04:17 combo ftpd[32332]: connection from 211.167.68.59 () at Sat Jun 25 19:25:31 2005,,May 01,00:04:17,Normal,No
May 1 00:14:05 combo kernel[-]: isapnp: Scanning for PnP cards...,,May 01,00:14:05,Normal,No
May 1 00:14:41 combo ftpd[14109]: connection from 221.4.102.93 () at Thu Jul  7 23:09:45 2005,,May 01,00:14:41,Normal,No
May 1 00:26:07 combo ftpd[29725]: connection from 82.83.227.67 (dsl-082-083-227-067.arcor-ip.net) at Sun Jul 10 07:24:24 2005,,May 01,00:26:07,Normal,No
May 1 00:40:32 combo kernel[-]: mapped 4G/4G trampoline to ffff3000.,,May 01,00:40:32,Normal,No
May 1 00:49:07 combo ftpd[24072]: connection from 206.196.21.129 (host129.206.196.21.maximumasp.com) at Sat Jul  9 22:53:22 2005,,May 01,00:49:07,Normal,No
May 1 01:02:01 combo sshd(pam_unix)[30598]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=150.183.249.110  user=root,150.183.249.110,May 01,01:02:01,Auth Failure,Yes
May 1 01:16:08 combo ftpd[13246]: connection from 61.74.96.178 () at Wed Jun 29 03:22:22 2005,,May 01,01:16:08,Normal,No
May 1 01:24:07 combo ftpd[24367]: connection from 207.30.238.8 (host8.topspot.net) at Sun Jul 17 14:02:54 2005,,May 01,01:24:07,Normal,No
May 1 01:29:39 combo ftpd[24073]: connection from 206.196.21.129 (host129.206.196.21.maximumasp.com) at Sat Jul  9 22:53:22 2005,,May 01,01:29:39,Normal,No
May 1 01:32:57 combo ftpd[31476]: connection from 210.118.170.95 () at Sat Jun 25 09:20:24 2005,,May 01,01:32:57,Normal,No
May 1 01:34:14 combo ftpd[9773]: connection from 211.72.151.162 () at Wed Jul  6 18:00:56 2005,,May 01,01:34:14,Normal,No
May 1 01:42:34 combo sshd(pam_unix)[2547]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=210.76.59.29  user=root,210.76.59.29,May 01,01:42:34,Auth Failure,Yes
May 1 01:53:42 combo ftpd[2839]: connection from 63.197.98.106 (adsl-63-197-98-106.dsl.mtry01.pacbell.net) at Mon Jul  4 12:52:44 2005,,May 01,01:53:42,Normal,No
May 1 02:07:26 combo ftpd[2838]: connection from 63.197.98.106 (adsl-63-197-98-106.dsl.mtry01.pacbell.net) at Mon Jul  4 12:52:44 2005,,May 01,02:07:26,Normal,No
May 1 02:21:22 combo ftpd[2841]: connection from 63.197.98.106 (adsl-63-197-98-106.dsl.mtry01.pacbell.net) at Mon Jul  4 12:52:44 2005,,May 01,02:21:22,Normal,No
May 1 02:28:14 combo ftpd[2840]: connection from 63.197.98.106 (adsl-63-197-98-106.dsl.mtry01.pacbell.net) at Mon Jul  4 12:52:44 2005,,May 01,02:28:14,Normal,No
May 1 02:30:18 combo ftpd[24369]: connection from 207.30.238.8 (host8.topspot.net) at Sun Jul 17 14:02:55 2005,,May 01,02:30:18,Normal,No
May 1 02:43:23 combo ftpd[29724]: connection from 82.83.227.67 (dsl-082-083-227-067.arcor-ip.net) at Sun Jul 10 07:24:24 2005,,May 01,02:43:23,Normal,No
May 1 02:50:16 combo named[2306]: notify question section contains no SOA,,May 01,02:50:16,Normal,No
May 1 03:05:06 combo sshd(pam_unix)[30672]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=150.183.249.110  user=root,150.183.249.110,May 01,03:05:06,Auth Failure,Yes
May 1 03:09:45 combo ftpd[23796]: connection from 218.146.61.230 () at Sun Jul 17 08:06:12 2005,,May 01,03:09:45,Normal,No
May 1 03:15:26 combo ftpd[25631]: connection from 211.72.151.162 () at Mon Jul 18 03:26:48 2005,,May 01,03:15:26,Normal,No
May 1 03:17:08 combo klogind[19272]: Authentication failed from 163.27.187.39 (163.27.187.39): Permission denied in replay cache code,,May 01,03:17:08,Normal,No
May 1 03:30:35 combo ftpd[23146]: connection from 211.167.68.59 () at Sat Jul  9 12:16:49 2005,,May 01,03:30:35,Normal,No
May 1 03:43:12 combo sshd(pam_unix)[30680]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=150.183.249.110  user=root,150.183.249.110,May 01,03:43:12,Auth Failure,Yes
May 1 03:52:14 combo logrotate[-]: ALERT exited abnormally with [1],,May 01,03:52:14,Service Issue,Yes
May 1 03:52:38 combo sshd(pam_unix)[15490]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=csnsu.nsuok.edu  user=root,csnsu.nsuok.edu,May 01,03:52:38,Auth Failure,Yes
May 1 03:53:33 combo ftpd[32332]: connection from 211.167.68.59 () at Sat Jun 25 19:25:31 2005,,May 01,03:53:33,Normal,No
May 1 03:53:53 combo ftpd[14113]: connection from 221.4.102.93 () at Thu Jul  7 23:09:45 2005,,May 01,03:53:53,Normal,No
May 1 04:04:52 combo ftpd[17874]: connection from 210.245.165.136 () at Wed Jun 22 13:16:30 2005,,May 01,04:04:52,Normal,No
May 1 04:14:39 combo su(pam_unix)[1965]: session closed for user news,,May 01,04:14:39,Normal,No
May 1 04:22:57 combo ftpd[15558]: connection from 208.62.55.75 () at Wed Jun 29 10:48:13 2005,,May 01,04:22:57,Normal,No
May 1 04:37:07 combo named[2306]: notify question section contains no SOA,,May 01,04:37:07,Normal,No
May 1 04:51:08 combo ftpd[23207]: connection from 81.171.220.226 () at Sat Jul  9 12:59:44 2005,,May 01,04:51:08,Normal,No
May 1 05:02:47 combo ftpd[13149]: connection from 67.95.49.172 () at Fri Jul 22 19:29:09 2005,,May 01,05:02:47,Normal,No
May 1 05:13:20 combo sshd(pam_unix)[30680]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=150.183.249.110  user=root,150.183.249.110,May 01,05:13:20,Auth Failure,Yes
May 1 05:17:28 combo sshd(pam_unix)[21692]: session closed for user test,,May 01,05:17:28,Normal,No
May 1 05:27:17 combo kernel[-]: Security Scaffold v1.0.0 initialized,,May 01,05:27:17,Normal,No
May 1 05:27:19 combo kernel[-]: Initializing Cryptographic API,,May 01,05:27:19,Normal,No
May 1 05:27:56 combo sshd(pam_unix)[31203]: check pass; user unknown,,May 01,05:27:56,Normal,No
"May 1 05:37:46 combo kernel[-]: Dquot-cache hash table entries: 1024 (order 0, 4096 bytes)",,May 01,05:37:46,Normal,No
May 1 05:45:05 combo ftpd[16780]: connection from 84.102.20.2 () at Sun Jul 24 02:38:22 2005,,May 01,05:45:05,Normal,No
May 1 05:58:04 combo sshd(pam_unix)[28878]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=207.243.167.114  user=root,207.243.167.114,May 01,05:58:04,Auth Failure,Yes
May 1 05:58:39 combo sshd(pam_unix)[12673]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=62-192-102-94.dsl.easynet.nl  user=root,62-192-102-94.dsl.easynet.nl,May 01,05:58:39,Auth Failure,Yes
May 1 06:07:30 combo sshd(pam_unix)[17140]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=ip-216-69-169-168.ip.secureserver.net,ip-216-69-169-168.ip.secureserver.net,May 01,06:07:30,Auth Failure,Yes
May 1 06:16:45 combo ftpd[778]: connection from 62.99.164.82 (62.99.164.82.sh.interxion.inode.at) at Sun Jul  3 23:16:09 2005,,May 01,06:16:45,Normal,No
May 1 06:30:54 combo syslogd 1.4.1[-]: restart.,,May 01,06:30:54,Normal,No
May 1 06:35:42 combo ftpd[24532]: connection from 217.187.83.139 () at Sun Jul 10 03:55:15 2005,,May 01,06:35:42,Normal,No
May 1 06:43:52 combo ftpd[24477]: connection from 203.101.45.59 (dsl-Chn-static-059.45.101.203.touchtelindia.net) at Sun Jul 17 15:09:15 2005,,May 01,06:43:52,Normal,No
May 1 06:55:04 combo ftpd[23576]: connection from 83.116.207.11 (aml-sfh-3310b.adsl.wanadoo.nl) at Sun Jul 17 06:13:37 2005,,May 01,06:55:04,Normal,No
May 1 07:02:54 combo su(pam_unix)[19686]: session closed for user cyrus,,May 01,07:02:54,Normal,No
May 1 07:10:54 combo cups[-]: cupsd shutdown succeeded,,May 01,07:10:54,Normal,No
May 1 07:21:40 combo ftpd[9768]: connection from 211.72.151.162 () at Wed Jul  6 18:00:56 2005,,May 01,07:21:40,Normal,No
May 1 07:27:52 combo sshd(pam_unix)[30732]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=211.214.161.141  user=root,211.214.161.141,May 01,07:27:52,Auth Failure,Yes
May 1 07:35:11 combo ftpd[8830]: connection from 222.33.90.199 () at Mon Jun 20 03:40:59 2005,,May 01,07:35:11,Normal,No
May 1 07:39:55 combo ftpd[29720]: connection from 82.83.227.67 (dsl-082-083-227-067.arcor-ip.net) at Sun Jul 10 07:24:24 2005,,May 01,07:39:55,Normal,No
May 1 07:51:04 combo su(pam_unix)[1965]: session opened for user news by (uid=0),,May 01,07:51:04,Normal,No
May 1 08:00:12 combo sshd(pam_unix)[30662]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=150.183.249.110  user=root,150.183.249.110,May 01,08:00:12,Auth Failure,Yes
