Logs,IP Address,Date,Time,Log Type,Anomaly Detected
Mar 30 19:31:44 combo su(pam_unix)[10583]: session opened for user news by (uid=0),,Mar 30,19:31:44,Normal,No
Mar 30 19:45:09 combo sshd(pam_unix)[12753]: check pass; user unknown,,Mar 30,19:45:09,Normal,No
Mar 30 19:59:25 combo sshd(pam_unix)[3380]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220.117.241.87  user=root,220.117.241.87,Mar 30,19:59:25,Auth Failure,Yes
Mar 30 20:14:05 combo sshd(pam_unix)[3488]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=210.76.59.29  user=root,210.76.59.29,Mar 30,20:14:05,Auth Failure,Yes
Mar 30 20:17:52 combo ftpd[23587]: connection from 83.116.207.11 (aml-sfh-3310b.adsl.wanadoo.nl) at Sun Jul 17 06:14:36 2005,,Mar 30,20:17:52,Normal,No
Mar 30 20:30:43 combo ftpd[13146]: connection from 67.95.49.172 () at Fri Jul 22 19:29:09 2005,,Mar 30,20:30:43,Normal,No
Mar 30 20:37:30 combo ftpd[29729]: connection from 82.83.227.67 (dsl-082-083-227-067.arcor-ip.net) at Sun Jul 10 07:24:34 2005,,Mar 30,20:37:30,Normal,No
Mar 30 20:37:58 combo ftpd[29733]: connection from 82.83.227.67 (dsl-082-083-227-067.arcor-ip.net) at Sun Jul 10 07:24:34 2005,,Mar 30,20:37:58,Normal,No
Mar 30 20:47:43 combo ftpd[29734]: connection from 82.83.227.67 (dsl-082-083-227-067.arcor-ip.net) at Sun Jul 10 07:24:34 2005,,Mar 30,20:47:43,Normal,No
Mar 30 20:50:05 combo ftpd[29737]: connection from 82.83.227.67 (dsl-082-083-227-067.arcor-ip.net) at Sun Jul 10 07:24:34 2005,,Mar 30,20:50:05,Normal,No
Mar 30 21:03:42 combo sshd(pam_unix)[6556]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=210.229.150.228,210.229.150.228,Mar 30,21:03:42,Auth Failure,Yes
Mar 30 21:07:17 combo sshd(pam_unix)[30635]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=150.183.249.110  user=root,150.183.249.110,Mar 30,21:07:17,Auth Failure,Yes
Mar 30 21:09:37 combo sshd(pam_unix)[30622]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=150.183.249.110  user=root,150.183.249.110,Mar 30,21:09:37,Auth Failure,Yes
Mar 30 21:18:45 combo sshd(pam_unix)[30624]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=150.183.249.110  user=root,150.183.249.110,Mar 30,21:18:45,Auth Failure,Yes
Mar 30 21:20:49 combo sshd(pam_unix)[30625]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=150.183.249.110  user=root,150.183.249.110,Mar 30,21:20:49,Auth Failure,Yes
Mar 30 21:33:53 combo sshd(pam_unix)[6560]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=210.229.150.228,210.229.150.228,Mar 30,21:33:53,Auth Failure,Yes
Mar 30 21:39:54 combo ftpd[17880]: connection from 210.245.165.136 () at Wed Jun 22 13:16:31 2005,,Mar 30,21:39:54,Normal,No
Mar 30 21:41:57 combo sshd(pam_unix)[20969]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=212.0.132.20  user=test,212.0.132.20,Mar 30,21:41:57,Auth Failure,Yes
Mar 30 21:54:25 combo ftpd[24964]: connection from 206.47.209.10 () at Mon Jul 25 06:39:18 2005,,Mar 30,21:54:25,Normal,No
Mar 30 22:04:19 combo ftpd[23033]: connection from 211.57.88.250 () at Sat Jul  9 11:35:59 2005,,Mar 30,22:04:19,Normal,No
Mar 30 22:05:48 combo sshd(pam_unix)[24587]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=zummit.com,zummit.com,Mar 30,22:05:48,Auth Failure,Yes
Mar 30 22:15:23 combo ftpd[24197]: connection from 207.30.238.8 (host8.topspot.net) at Sun Jul 17 12:30:46 2005,,Mar 30,22:15:23,Normal,No
Mar 30 22:19:28 combo ftpd[5016]: connection from 216.12.111.241 () at Thu Jul 21 09:04:41 2005,,Mar 30,22:19:28,Normal,No
Mar 30 22:28:39 combo ftpd[5021]: connection from 216.12.111.241 () at Thu Jul 21 09:04:41 2005,,Mar 30,22:28:39,Normal,No
Mar 30 22:38:29 combo sshd(pam_unix)[23406]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,218.188.2.4,Mar 30,22:38:29,Auth Failure,Yes
Mar 30 22:47:39 combo ftpd[32325]: connection from 211.167.68.59 () at Sat Jun 25 19:25:30 2005,,Mar 30,22:47:39,Normal,No
Mar 30 22:57:44 combo ftpd[32331]: connection from 211.167.68.59 () at Sat Jun 25 19:25:30 2005,,Mar 30,22:57:44,Normal,No
Mar 30 23:02:36 combo ftpd[32330]: connection from 211.167.68.59 () at Sat Jun 25 19:25:30 2005,,Mar 30,23:02:36,Normal,No
Mar 30 23:04:47 combo ftpd[32333]: connection from 211.167.68.59 () at Sat Jun 25 19:25:31 2005,,Mar 30,23:04:47,Normal,No
Mar 30 23:06:06 combo sshd(pam_unix)[30634]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=150.183.249.110  user=root,150.183.249.110,Mar 30,23:06:06,Auth Failure,Yes
Mar 30 23:16:01 combo su(pam_unix)[28416]: session closed for user news,,Mar 30,23:16:01,Normal,No
Mar 30 23:25:20 combo sshd(pam_unix)[24579]: check pass; user unknown,,Mar 30,23:25:20,Normal,No
Mar 30 23:28:55 combo sshd(pam_unix)[13317]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=c9063558.virtua.com.br,c9063558.virtua.com.br,Mar 30,23:28:55,Auth Failure,Yes
Mar 30 23:34:05 combo sshd(pam_unix)[26184]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.22.3.51  user=root,218.22.3.51,Mar 30,23:34:05,Auth Failure,Yes
Mar 30 23:47:31 combo sshd(pam_unix)[31020]: check pass; user unknown,,Mar 30,23:47:31,Normal,No
Mar 31 00:00:09 combo ftpd[31286]: connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Sat Jun 18 02:08:12 2005,,Mar 31,00:00:09,Normal,No
Mar 31 00:06:10 combo ftpd[17670]: connection from 212.65.68.82 () at Sat Jul 16 08:14:04 2005,,Mar 31,00:06:10,Normal,No
Mar 31 00:07:47 combo ftpd[2831]: connection from 63.197.98.106 (adsl-63-197-98-106.dsl.mtry01.pacbell.net) at Mon Jul  4 12:52:44 2005,,Mar 31,00:07:47,Normal,No
Mar 31 00:08:28 combo sshd(pam_unix)[28850]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=207.243.167.114  user=root,207.243.167.114,Mar 31,00:08:28,Auth Failure,Yes
Mar 31 00:18:24 combo ftpd[15555]: connection from 208.62.55.75 () at Wed Jun 29 10:48:10 2005,,Mar 31,00:18:24,Normal,No
Mar 31 00:30:18 combo klogind[19275]: Authentication failed from 163.27.187.39 (163.27.187.39): Software caused connection abort,,Mar 31,00:30:18,Normal,No
Mar 31 00:41:11 combo sshd(pam_unix)[12679]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=62-192-102-94.dsl.easynet.nl  user=root,62-192-102-94.dsl.easynet.nl,Mar 31,00:41:11,Auth Failure,Yes
Mar 31 00:43:34 combo ftpd[13522]: connection from 202.82.200.188 () at Thu Jul  7 16:33:52 2005,,Mar 31,00:43:34,Normal,No
Mar 31 00:45:34 combo sshd(pam_unix)[16245]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=n219076184117.netvigator.com  user=root,n219076184117.netvigator.com,Mar 31,00:45:34,Auth Failure,Yes
Mar 31 00:55:00 combo sshd(pam_unix)[16248]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=n219076184117.netvigator.com  user=root,n219076184117.netvigator.com,Mar 31,00:55:00,Auth Failure,Yes
Mar 31 01:05:11 combo sshd(pam_unix)[16250]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=n219076184117.netvigator.com  user=root,n219076184117.netvigator.com,Mar 31,01:05:11,Auth Failure,Yes
Mar 31 01:16:27 combo su(pam_unix)[16663]: session opened for user cyrus by (uid=0),,Mar 31,01:16:27,Normal,No
Mar 31 01:19:20 combo su(pam_unix)[16663]: session closed for user cyrus,,Mar 31,01:19:20,Normal,No
Mar 31 01:30:35 combo sshd(pam_unix)[20963]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=212.0.132.20  user=test,212.0.132.20,Mar 31,01:30:35,Auth Failure,Yes
"Mar 31 01:45:31 combo kernel[-]: HighMem zone: 0 pages, LIFO batch:1",,Mar 31,01:45:31,Normal,No
Mar 31 01:47:27 combo sshd(pam_unix)[23416]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,218.188.2.4,Mar 31,01:47:27,Auth Failure,Yes
Mar 31 01:52:26 combo sshd(pam_unix)[28856]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=207.243.167.114  user=root,207.243.167.114,Mar 31,01:52:26,Auth Failure,Yes
Mar 31 02:06:01 combo ftpd[22656]: connection from 211.107.232.1 () at Sun Jul 24 13:46:32 2005,,Mar 31,02:06:01,Normal,No
Mar 31 02:18:48 combo sshd(pam_unix)[28991]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=211-76-104-65.ebix.net.tw,211-76-104-65.ebix.net.tw,Mar 31,02:18:48,Auth Failure,Yes
Mar 31 02:32:29 combo ftpd[25217]: connection from 82.68.222.195 (82-68-222-195.dsl.in-addr.zen.co.uk) at Sun Jul 17 23:21:50 2005,,Mar 31,02:32:29,Normal,No
Mar 31 02:42:23 combo su(pam_unix)[24898]: session closed for user cyrus,,Mar 31,02:42:23,Normal,No
Mar 31 02:47:51 combo sshd(pam_unix)[15490]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=csnsu.nsuok.edu  user=root,csnsu.nsuok.edu,Mar 31,02:47:51,Auth Failure,Yes
Mar 31 02:52:09 combo sshd(pam_unix)[21691]: session closed for user test,,Mar 31,02:52:09,Normal,No
Mar 31 02:58:16 combo sshd(pam_unix)[12665]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=62-192-102-94.dsl.easynet.nl  user=root,62-192-102-94.dsl.easynet.nl,Mar 31,02:58:16,Auth Failure,Yes
Mar 31 03:05:37 combo ftpd[23565]: connection from 83.116.207.11 (aml-sfh-3310b.adsl.wanadoo.nl) at Sun Jul 17 06:13:37 2005,,Mar 31,03:05:37,Normal,No
Mar 31 03:08:36 combo ftpd[14109]: connection from 221.4.102.93 () at Thu Jul  7 23:09:45 2005,,Mar 31,03:08:36,Normal,No
Mar 31 03:16:26 combo sshd(pam_unix)[24588]: check pass; user unknown,,Mar 31,03:16:26,Normal,No
Mar 31 03:17:41 combo sshd(pam_unix)[30618]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=150.183.249.110  user=root,150.183.249.110,Mar 31,03:17:41,Auth Failure,Yes
Mar 31 03:27:11 combo ftpd[24378]: connection from 207.30.238.8 (host8.topspot.net) at Sun Jul 17 14:03:05 2005,,Mar 31,03:27:11,Normal,No
Mar 31 03:32:20 combo ftpd[24521]: connection from 217.187.83.139 () at Sun Jul 10 03:55:15 2005,,Mar 31,03:32:20,Normal,No
"Mar 31 03:46:55 combo ftpd[16781]: ANONYMOUS FTP LOGIN FROM 84.102.20.2,  (anonymous)",,Mar 31,03:46:55,Normal,No
Mar 31 03:50:42 combo sshd(pam_unix)[21689]: session closed for user test,,Mar 31,03:50:42,Normal,No
Mar 31 04:05:39 combo ftpd[23144]: connection from 211.167.68.59 () at Sat Jul  9 12:16:49 2005,,Mar 31,04:05:39,Normal,No
Mar 31 04:15:44 combo su(pam_unix)[32608]: session closed for user news,,Mar 31,04:15:44,Normal,No
Mar 31 04:19:43 combo sshd(pam_unix)[12643]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=c51471f2c.cable.wanadoo.nl  user=root,c51471f2c.cable.wanadoo.nl,Mar 31,04:19:43,Auth Failure,Yes
Mar 31 04:30:12 combo sshd(pam_unix)[19637]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=60.30.224.116  user=root,60.30.224.116,Mar 31,04:30:12,Auth Failure,Yes
Mar 31 04:41:20 combo ftpd[17667]: connection from 212.65.68.82 () at Sat Jul 16 08:14:04 2005,,Mar 31,04:41:20,Normal,No
Mar 31 04:49:15 combo ftpd[24369]: connection from 207.30.238.8 (host8.topspot.net) at Sun Jul 17 14:02:55 2005,,Mar 31,04:49:15,Normal,No
Mar 31 04:55:18 combo sshd(pam_unix)[12627]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=c51471f2c.cable.wanadoo.nl  user=root,c51471f2c.cable.wanadoo.nl,Mar 31,04:55:18,Auth Failure,Yes
Mar 31 05:04:30 combo kernel[-]: 126MB LOWMEM available.,,Mar 31,05:04:30,Normal,No
Mar 31 05:14:49 combo ftpd[17667]: connection from 212.65.68.82 () at Sat Jul 16 08:14:04 2005,,Mar 31,05:14:49,Normal,No
Mar 31 05:28:32 combo sshd(pam_unix)[28986]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=211-76-104-65.ebix.net.tw,211-76-104-65.ebix.net.tw,Mar 31,05:28:32,Auth Failure,Yes
Mar 31 05:42:10 combo sshd(pam_unix)[22106]: session opened for user test by (uid=509),,Mar 31,05:42:10,Normal,No
Mar 31 05:56:24 combo ftpd[24467]: connection from 203.101.45.59 (dsl-Chn-static-059.45.101.203.touchtelindia.net) at Sun Jul 17 15:09:15 2005,,Mar 31,05:56:24,Normal,No
Mar 31 06:06:06 combo su(pam_unix)[1546]: session opened for user news by (uid=0),,Mar 31,06:06:06,Normal,No
Mar 31 06:14:54 combo ftpd[2828]: connection from 63.197.98.106 (adsl-63-197-98-106.dsl.mtry01.pacbell.net) at Mon Jul  4 12:52:44 2005,,Mar 31,06:14:54,Normal,No
Mar 31 06:20:45 combo sshd(pam_unix)[4061]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=68.143.156.89.nw.nuvox.net  user=root,68.143.156.89.nw.nuvox.net,Mar 31,06:20:45,Auth Failure,Yes
Mar 31 06:31:26 combo sshd(pam_unix)[30672]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=150.183.249.110  user=root,150.183.249.110,Mar 31,06:31:26,Auth Failure,Yes
