Logs,IP Address,Date,Time,Log Type,Anomaly Detected
Nov 9 19:38:46 combo ftpd[32332]: connection from 211.167.68.59 () at Sat Jun 25 19:25:31 2005,,Nov 09,19:38:46,Normal,No
Nov 9 19:52:46 combo ftpd[24201]: connection from 207.30.238.8 (host8.topspot.net) at Sun Jul 17 12:30:51 2005,,Nov 09,19:52:46,Normal,No
Nov 9 19:59:58 combo ftpd[22667]: connection from 211.107.232.1 () at Sun Jul 24 13:46:34 2005,,Nov 09,19:59:58,Normal,No
Nov 9 20:04:01 combo ftpd[22664]: connection from 211.107.232.1 () at Sun Jul 24 13:46:34 2005,,Nov 09,20:04:01,Normal,No
Nov 9 20:17:49 combo ftpd[22668]: connection from 211.107.232.1 () at Sun Jul 24 13:46:34 2005,,Nov 09,20:17:49,Normal,No
Nov 9 20:23:47 combo ftpd[28691]: connection from 172.181.208.156 () at Tue Jul 26 05:47:42 2005,,Nov 09,20:23:47,Normal,No
Nov 9 20:24:54 combo sshd(pam_unix)[17140]: check pass; user unknown,,Nov 09,20:24:54,Normal,No
Nov 9 20:39:21 combo ftpd[31285]: connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Sat Jun 18 02:08:12 2005,,Nov 09,20:39:21,Normal,No
Nov 9 20:48:24 combo udev[12795]: creating device node '/udev/vcs2',,Nov 09,20:48:24,Normal,No
Nov 9 20:56:05 combo ftpd[6598]: connection from 211.72.2.106 () at Tue Jul  5 13:52:23 2005,,Nov 09,20:56:05,Normal,No
Nov 9 21:02:42 combo logrotate[-]: ALERT exited abnormally with [1],,Nov 09,21:02:42,Service Issue,Yes
Nov 9 21:07:25 combo sshd(pam_unix)[12671]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=62-192-102-94.dsl.easynet.nl  user=root,62-192-102-94.dsl.easynet.nl,Nov 09,21:07:25,Auth Failure,No
Nov 9 21:11:43 combo ftpd[28691]: connection from 172.181.208.156 () at Tue Jul 26 05:47:42 2005,,Nov 09,21:11:43,Normal,No
Nov 9 21:21:42 combo sshd(pam_unix)[23669]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=061092085098.ctinets.com,061092085098.ctinets.com,Nov 09,21:21:42,Auth Failure,No
Nov 9 21:36:17 combo sshd(pam_unix)[30546]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=150.183.249.110  user=root,150.183.249.110,Nov 09,21:36:17,Auth Failure,No
Nov 9 21:40:31 combo sshd(pam_unix)[23669]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=061092085098.ctinets.com,061092085098.ctinets.com,Nov 09,21:40:31,Auth Failure,No
Nov 9 21:53:58 combo su(pam_unix)[12193]: session opened for user news by (uid=0),,Nov 09,21:53:58,Normal,No
Nov 9 22:00:15 combo ftpd[2838]: connection from 63.197.98.106 (adsl-63-197-98-106.dsl.mtry01.pacbell.net) at Mon Jul  4 12:52:44 2005,,Nov 09,22:00:15,Normal,No
Nov 9 22:14:35 combo ftpd[9761]: connection from 211.72.151.162 () at Wed Jul  6 18:00:56 2005,,Nov 09,22:14:35,Normal,No
Nov 9 22:19:28 combo su(pam_unix)[32608]: session opened for user news by (uid=0),,Nov 09,22:19:28,Normal,No
Nov 9 22:26:12 combo named[2306]: notify question section contains no SOA,,Nov 09,22:26:12,Normal,No
Nov 9 22:29:33 combo sshd(pam_unix)[16224]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=n219076184117.netvigator.com  user=root,n219076184117.netvigator.com,Nov 09,22:29:33,Auth Failure,No
Nov 9 22:29:36 combo sshd(pam_unix)[23545]: session closed for user test,,Nov 09,22:29:36,Normal,No
Nov 9 22:31:56 combo udev[12790]: removing device node '/udev/vcsa2',,Nov 09,22:31:56,Normal,No
Nov 9 22:45:34 combo udev[12795]: creating device node '/udev/vcs2',,Nov 09,22:45:34,Normal,No
Nov 9 22:59:20 combo sshd(pam_unix)[30655]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=150.183.249.110  user=root,150.183.249.110,Nov 09,22:59:20,Auth Failure,No
Nov 9 23:12:00 combo ftpd[13149]: connection from 67.95.49.172 () at Fri Jul 22 19:29:09 2005,,Nov 09,23:12:00,Normal,No
Nov 9 23:19:54 combo ftpd[23782]: connection from 218.146.61.230 () at Sun Jul 17 08:06:12 2005,,Nov 09,23:19:54,Normal,No
Nov 9 23:34:16 combo ftpd[31468]: connection from 210.118.170.95 () at Sat Jun 25 09:20:24 2005,,Nov 09,23:34:16,Normal,No
Nov 9 23:35:31 combo sshd(pam_unix)[20885]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,220-135-151-1.hinet-ip.hinet.net,Nov 09,23:35:31,Auth Failure,No
Nov 9 23:49:13 combo sshd(pam_unix)[30686]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=150.183.249.110  user=root,150.183.249.110,Nov 09,23:49:13,Auth Failure,No
Nov 9 23:50:51 combo sshd(pam_unix)[18547]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=biblioteka.wsi.edu.pl,biblioteka.wsi.edu.pl,Nov 09,23:50:51,Auth Failure,No
Nov 10 00:05:45 combo ftpd[2821]: connection from 63.197.98.106 (adsl-63-197-98-106.dsl.mtry01.pacbell.net) at Mon Jul  4 12:52:44 2005,,Nov 10,00:05:45,Normal,No
Nov 10 00:18:50 combo ftpd[29725]: connection from 82.83.227.67 (dsl-082-083-227-067.arcor-ip.net) at Sun Jul 10 07:24:24 2005,,Nov 10,00:18:50,Normal,No
Nov 10 00:27:39 combo syslogd 1.4.1[-]: restart.,,Nov 10,00:27:39,Normal,No
Nov 10 00:40:20 combo ftpd[24200]: connection from 207.30.238.8 (host8.topspot.net) at Sun Jul 17 12:30:48 2005,,Nov 10,00:40:20,Normal,No
Nov 10 00:54:36 combo ftpd[14110]: connection from 221.4.102.93 () at Thu Jul  7 23:09:45 2005,,Nov 10,00:54:36,Normal,No
Nov 10 01:06:48 combo sshd(pam_unix)[11512]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=61.53.154.93  user=root,61.53.154.93,Nov 10,01:06:48,Auth Failure,No
Nov 10 01:17:53 combo kernel[-]: BIOS-e820: 0000000007eae000 - 0000000008000000 (reserved),,Nov 10,01:17:53,Normal,No
Nov 10 01:25:25 combo ftpd[24479]: connection from 203.101.45.59 (dsl-Chn-static-059.45.101.203.touchtelindia.net) at Sun Jul 17 15:09:15 2005,,Nov 10,01:25:25,Normal,No
