Logs,IP Address,Date,Time,Log Type,Anomaly Detected
Sep 10 19:42:13 combo sshd(pam_unix)[17140]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=ip-216-69-169-168.ip.secureserver.net,ip-216-69-169-168.ip.secureserver.net,Sep 10,19:42:13,Auth Failure,Yes
Sep 10 19:54:12 combo su(pam_unix)[2605]: session closed for user cyrus,,Sep 10,19:54:12,Normal,No
Sep 10 20:00:44 combo ftpd[25235]: connection from 82.68.222.195 (82-68-222-195.dsl.in-addr.zen.co.uk) at Sun Jul 17 23:21:54 2005,,Sep 10,20:00:44,Normal,No
Sep 10 20:09:21 combo ftpd[30756]: connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Fri Jun 17 20:55:06 2005,,Sep 10,20:09:21,Normal,No
Sep 10 20:24:11 combo sshd(pam_unix)[8664]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=troi.bluesky-technologies.com  user=root,troi.bluesky-technologies.com,Sep 10,20:24:11,Auth Failure,Yes
Sep 10 20:26:54 combo sshd(pam_unix)[3380]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220.117.241.87  user=root,220.117.241.87,Sep 10,20:26:54,Auth Failure,Yes
Sep 10 20:37:14 combo ftpd[29725]: connection from 82.83.227.67 (dsl-082-083-227-067.arcor-ip.net) at Sun Jul 10 07:24:24 2005,,Sep 10,20:37:14,Normal,No
Sep 10 20:52:07 combo su(pam_unix)[19593]: session closed for user news,,Sep 10,20:52:07,Normal,No
Sep 10 20:53:34 combo ftpd[23156]: connection from 211.167.68.59 () at Sat Jul  9 12:16:52 2005,,Sep 10,20:53:34,Normal,No
Sep 10 20:59:48 combo ftpd[23937]: connection from 210.245.165.136 () at Sun Jul 17 09:44:07 2005,,Sep 10,20:59:48,Normal,No
Sep 10 21:11:23 combo ftpd[6584]: connection from 211.72.2.106 () at Tue Jul  5 13:52:21 2005,,Sep 10,21:11:23,Normal,No
Sep 10 21:21:13 combo ftpd[13244]: connection from 61.74.96.178 () at Wed Jun 29 03:22:22 2005,,Sep 10,21:21:13,Normal,No
Sep 10 21:32:43 combo logrotate[-]: ALERT exited abnormally with [1],,Sep 10,21:32:43,Service Issue,Yes
Sep 10 21:40:15 combo sshd(pam_unix)[16159]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=211.9.58.217  user=root,211.9.58.217,Sep 10,21:40:15,Auth Failure,Yes
Sep 10 21:50:21 combo sshd(pam_unix)[19085]: check pass; user unknown,,Sep 10,21:50:21,Normal,No
Sep 10 21:53:10 combo ftpd[25032]: connection from 82.68.222.194 (82-68-222-194.dsl.in-addr.zen.co.uk) at Sun Jul 17 21:23:20 2005,,Sep 10,21:53:10,Normal,No
Sep 10 21:59:05 combo sshd(pam_unix)[19439]: session opened for user test by (uid=509),,Sep 10,21:59:05,Normal,No
Sep 10 22:02:06 combo sshd(pam_unix)[19440]: session opened for user test by (uid=509),,Sep 10,22:02:06,Normal,No
Sep 10 22:16:06 combo sshd(pam_unix)[19434]: session closed for user test,,Sep 10,22:16:06,Normal,No
Sep 10 22:23:32 combo sshd(pam_unix)[19435]: session closed for user test,,Sep 10,22:23:32,Normal,No
